연번,기업명,영향범주,인증번호,제품군,인증제품명,자원발자국-총량,자원발자국-단위,자원발자국-제조전,자원발자국-제조,자원발자국-사용,자원발자국-폐기,탄소발자국-총량,탄소발자국-단위,탄소발자국-제조전,탄소발자국-제조,탄소발자국-사용,탄소발자국-폐기,오존층영향-총량,오존층영향-단위,오존층영향-제조전,오존층영향-제조,오존층영향-사용,오존층영향-폐기,산성비-총량,산성비-단위,산성비-제조전,산성비-제조,산성비-사용,산성비-폐기,부영양화-총량,부영양화-단위,부영양화-제조전,부영양화-제조,부영양화-사용,부영양화-폐기,광화학 스모그-총량,광화학 스모그-단위,광화학 스모그-제조전,광화학 스모그-제조,광화학 스모그-사용,광화학 스모그-폐기,물발자국-총량,물발자국-단위,물발자국-제조전,물발자국-제조,물발자국-사용,물발자국-폐기,시작,종료
933,무림피앤피주식회사,저탄소제품,2022-744,생산재,네오스타 에스플러스,5.13,kgSbe/ton,3.21,1.92,,,830,kgCO2e/ton,520,310,,,0.0324,kgCFC-11e/ton,0.0324,0.00000066,,,5.4,kgSO2e/ton,4.84,0.559,,,1.49,kgPO43-e/ton,1.36,0.131,,,2.85,kgC2H4e/ton,2.82,0.0275,,,32.8,m3H2Oe/ton,28.2,4.58,,,2022-11-28,2025-11-27
934,주식회사 현대엘앤씨,저탄소제품,2022-580,생산재,큐리브,0.00365,kgSbe/m2,0.00283,0.000827,,,0.528,kgCO2e/m2,0.388,0.14,,,0.000146,kgCFC-11e/m2,0.000146,,,,0.00197,kgSO2e/m2,0.00165,0.000322,,,0.00211,kgPO43-e/m2,0.00203,0.0000749,,,0.000898,kgC2H4e/m2,0.000844,0.0000544,,,0.00931,m3H2Oe/m2,0.00762,0.00169,,,2022-12-01,2025-09-29
935,주식회사 현대엘앤씨,저탄소제품,2022-580,생산재,큐브,0.00365,kgSbe/m2,0.00283,0.000827,,,0.528,kgCO2e/m2,0.388,0.14,,,0.000146,kgCFC-11e/m2,0.000146,,,,0.00197,kgSO2e/m2,0.00165,0.000322,,,0.00211,kgPO43-e/m2,0.00203,0.0000749,,,0.000898,kgC2H4e/m2,0.000844,0.0000544,,,0.00931,m3H2Oe/m2,0.00762,0.00169,,,2022-12-01,2025-09-29
936,주식회사 케이씨씨글라스,저탄소제품,2022-745,생산재,디럭스타일 [300X300X3T],0.0289,kgSbe/m2,0.024,0.00494,,,2.75,kgCO2e/m2,1.95,0.801,,,0.000285,kgCFC-11e/m2,0.000285,,,,0.00706,kgSO2e/m2,0.00549,0.00157,,,0.00119,kgPO43-e/m2,0.000916,0.000272,,,0.00343,kgC2H4e/m2,0.00328,0.000142,,,0.184,m3H2Oe/m2,0.173,0.0103,,,2022-12-13,2025-05-29
937,주식회사 케이씨씨글라스,저탄소제품,2022-746,생산재,디럭스타일 [450X450X3T],0.0285,kgSbe/m2,0.0236,0.00489,,,2.72,kgCO2e/m2,1.93,0.793,,,0.000284,kgCFC-11e/m2,0.000284,,,,0.00701,kgSO2e/m2,0.00545,0.00156,,,0.00119,kgPO43-e/m2,0.000917,0.000269,,,0.00335,kgC2H4e/m2,0.00321,0.000142,,,0.196,m3H2Oe/m2,0.186,0.0102,,,2022-12-13,2025-05-29
938,(주) 한솔홈데코,환경성적,2022-024,생산재,SB마루 SB일반[95mm x 800mm x 6T],0.0623,kgSbe/m2,0.0556,0.00668,,,8.83,kgCO2e/m2,7.81,1.03,,,0.00205,kgCFC-11e/m2,0.00144,0.000614,,,0.0463,kgSO2e/m2,0.0445,0.00181,,,0.0171,kgPO43-e/m2,0.0165,0.000597,,,0.0231,kgC2H4e/m2,0.022,0.00103,,,0.12,m3H2Oe/m2,0.114,0.00555,,,2022-12-20,2025-12-19
939,(주) 한솔홈데코,환경성적,2022-025,생산재,SB마루 SB 강[95mm x 800mm x 6T],0.0656,kgSbe/m2,0.0609,0.00463,,,9.57,kgCO2e/m2,8.77,0.798,,,0.00143,kgCFC-11e/m2,0.00143,,,,0.0524,kgSO2e/m2,0.0504,0.00196,,,0.0217,kgPO43-e/m2,0.0212,0.000546,,,0.0221,kgC2H4e/m2,0.0218,0.000269,,,0.126,m3H2Oe/m2,0.122,0.00358,,,2022-12-20,2025-12-19
940,(주) 한솔홈데코,저탄소제품,2022-747,생산재,SB마루 울트라 강[95mm x 800mm x 7.5T],0.0676,kgSbe/m2,0.0617,0.00582,,,9.45,kgCO2e/m2,8.5,0.956,,,0.0000435,kgCFC-11e/m2,0.0000434,0.000000056,,,0.0458,kgSO2e/m2,0.0433,0.00251,,,0.0228,kgPO43-e/m2,0.0221,0.000708,,,0.00663,kgC2H4e/m2,0.00627,0.000356,,,0.146,m3H2Oe/m2,0.142,0.00412,,,2022-12-20,2025-12-19
941,주식회사 가이오(GAIO),환경성적,2022-748,생산재,라솔라 아트에코(PP 데코시트 0.1T),0.00448,kgSbe/m2,0.00409,0.000391,,,0.328,kgCO2e/m2,0.234,0.094,,,0.00000297,kgCFC-11e/m2,0.00000297,,,,0.000849,kgSO2e/m2,0.000628,0.000221,,,0.000361,kgPO43-e/m2,0.000325,0.0000361,,,0.00136,kgC2H4e/m2,0.00135,0.00000901,,,0.00418,m3H2Oe/m2,0.00364,0.000537,,,2022-12-20,2025-12-19
942,금호석유화학(주),환경성적,2022-749,생산재,골드폼 특호 [압출 발포폴리스티렌(XPS) 단열재 특호],0.739,kgSbe/m3,0.629,0.109,,,446,kgCO2e/m3,222,224,,,0.0851,kgCFC-11e/m3,0.0133,0.0718,,,0.273,kgSO2e/m3,0.244,0.0292,,,0.0698,kgPO43-e/m3,0.0644,0.00543,,,0.067,kgC2H4e/m3,0.0668,0.000124,,,0.502,m3H2Oe/m3,0.286,0.216,,,2022-12-20,2025-12-19
943,금호석유화학(주),환경성적,2022-750,생산재,골드폼 1호 [압출 발포폴리스티렌(XPS) 단열재 1호],0.722,kgSbe/m3,0.615,0.107,,,389,kgCO2e/m3,224,165,,,0.0817,kgCFC-11e/m3,0.0135,0.0682,,,0.27,kgSO2e/m3,0.241,0.0286,,,0.0661,kgPO43-e/m3,0.0607,0.00532,,,0.0647,kgC2H4e/m3,0.0646,0.000121,,,0.494,m3H2Oe/m3,0.283,0.211,,,2022-12-20,2025-12-19
944,중원주식회사,환경성적,2022-751,비내구재,노브랜드 자연순면 라이너 롱 40P,0.0022,kgSbe/개,0.00141,0.0005,,0.000286,0.369,kgCO2e/개,0.142,0.079,,0.148,0.0000169,kgCFC-11e/개,0.0000113,0.0000056,,,0.00103,kgSO2e/개,0.00073,0.000131,,0.000168,0.000465,kgPO43-e/개,0.000334,0.0000497,,0.0000812,0.000201,kgC2H4e/개,0.000166,0.0000088,,0.0000261,0.0134,m3H2Oe/개,0.0124,0.000954,,0.0000353,2022-12-20,2025-12-19
945,주식회사 태왕금속앙카안전,환경성적,2022-753,생산재,슈퍼앵글,0.0152,kgSbe/kg,0.0152,0.0000709,,,3.88,kgCO2e/kg,3.87,0.0112,,,0.000032,kgCFC-11e/kg,0.000032,,,,0.011,kgSO2e/kg,0.011,0.0000224,,,0.00825,kgPO43-e/kg,0.00825,0.00000416,,,0.00117,kgC2H4e/kg,0.00117,0.0000011,,,0.0315,m3H2Oe/kg,0.0313,0.00014,,,2022-12-20,2025-12-19
946,주식회사 태왕금속앙카안전,환경성적,2022-754,생산재,슈퍼조정판,0.0152,kgSbe/kg,0.0152,0.0000621,,,3.88,kgCO2e/kg,3.87,0.00977,,,0.000032,kgCFC-11e/kg,0.000032,,,,0.011,kgSO2e/kg,0.011,0.0000201,,,0.00825,kgPO43-e/kg,0.00825,0.00000372,,,0.00117,kgC2H4e/kg,0.00117,0.00000109,,,0.0314,m3H2Oe/kg,0.0313,0.000123,,,2022-12-20,2025-12-19
947,(주)대성,환경성적,2022-759,생산재,"레디믹스트 콘크리트[25-21-150,충청도]",0.469,kgSbe/m3,0.451,0.0177,,,210,kgCO2e/m3,207,2.8,,,0.00394,kgCFC-11e/m3,0.00393,0.00000371,,,0.404,kgSO2e/m3,0.399,0.00486,,,0.0752,kgPO43-e/m3,0.0743,0.000886,,,0.0298,kgC2H4e/m3,0.0298,0.0000321,,,0.55,m3H2Oe/m3,0.413,0.137,,,2022-12-20,2025-12-19
948,(주)대성,환경성적,2022-760,생산재,"레디믹스트 콘크리트[25-24-150,충청도]",0.424,kgSbe/m3,0.414,0.0102,,,191,kgCO2e/m3,189,1.62,,,0.0036,kgCFC-11e/m3,0.0036,0.00000371,,,0.372,kgSO2e/m3,0.369,0.00286,,,0.0693,kgPO43-e/m3,0.0687,0.000515,,,0.028,kgC2H4e/m3,0.0279,0.0000233,,,0.514,m3H2Oe/m3,0.392,0.121,,,2022-12-20,2025-12-19
949,(주)대성,환경성적,2022-761,생산재,"레디믹스트 콘크리트[25-27-150,충청도]",0.469,kgSbe/m3,0.455,0.0143,,,211,kgCO2e/m3,209,2.26,,,0.00397,kgCFC-11e/m3,0.00397,0.00000371,,,0.406,kgSO2e/m3,0.402,0.00401,,,0.0755,kgPO43-e/m3,0.0748,0.000722,,,0.0299,kgC2H4e/m3,0.0299,0.0000352,,,0.547,m3H2Oe/m3,0.416,0.13,,,2022-12-20,2025-12-19
950,(주)대성,환경성적,2022-762,생산재,"레디믹스트 콘크리트[25-30-150,충청도]",0.493,kgSbe/m3,0.483,0.0108,,,215,kgCO2e/m3,214,1.72,,,0.00511,kgCFC-11e/m3,0.00511,0.00000371,,,0.422,kgSO2e/m3,0.419,0.00309,,,0.0785,kgPO43-e/m3,0.078,0.00055,,,0.0363,kgC2H4e/m3,0.0363,0.0000301,,,0.525,m3H2Oe/m3,0.409,0.116,,,2022-12-20,2025-12-19
951,(주)엔아이스틸,환경성적,2022-763,생산재,D-DECK,0.0085,kgSbe/m2,0.00731,0.00119,,,36.9,kgCO2e/m2,36.7,0.188,,,0.0000223,kgCFC-11e/m2,0.0000223,,,,0.0303,kgSO2e/m2,0.03,0.000323,,,0.00542,kgPO43-e/m2,0.00536,0.0000601,,,0.0142,kgC2H4e/m2,0.0142,0.00000263,,,0.3,m3H2Oe/m2,0.298,0.00235,,,2022-12-20,2025-12-19
952,(주)엔아이스틸,환경성적,2022-764,생산재,N-DECK,0.00849,kgSbe/m2,0.00617,0.00232,,,31.3,kgCO2e/m2,31,0.366,,,0.0000189,kgCFC-11e/m2,0.0000189,,,,0.0259,kgSO2e/m2,0.0253,0.000623,,,0.00464,kgPO43-e/m2,0.00452,0.000116,,,0.012,kgC2H4e/m2,0.012,0.0000037,,,0.256,m3H2Oe/m2,0.252,0.00457,,,2022-12-20,2025-12-19
953,건설기업(주),저탄소제품,2022-765,생산재,"레디믹스트 콘크리트[25-21-150,수도권]",0.629,kgSbe/m3,0.619,0.00938,,,219,kgCO2e/m3,218,1.48,,,0.0133,kgCFC-11e/m3,0.0133,0.000000589,,,0.313,kgSO2e/m3,0.31,0.00302,,,0.0562,kgPO43-e/m3,0.0557,0.00049,,,0.0546,kgC2H4e/m3,0.0545,0.0000489,,,0.437,m3H2Oe/m3,0.357,0.0806,,,2022-12-20,2025-12-19
954,건설기업(주),저탄소제품,2022-766,생산재,"레디믹스트 콘크리트[25-24-150,수도권]",0.65,kgSbe/m3,0.641,0.00982,,,226,kgCO2e/m3,225,1.55,,,0.0456,kgCFC-11e/m3,0.0456,0.000000589,,,0.286,kgSO2e/m3,0.283,0.00316,,,0.0571,kgPO43-e/m3,0.0566,0.000513,,,0.0548,kgC2H4e/m3,0.0547,0.0000515,,,0.45,m3H2Oe/m3,0.363,0.0877,,,2022-12-20,2025-12-19
955,건설기업(주),저탄소제품,2022-767,생산재,"레디믹스트 콘크리트[25-27-150,수도권]",0.725,kgSbe/m3,0.715,0.0102,,,255,kgCO2e/m3,254,1.61,,,0.0407,kgCFC-11e/m3,0.0407,0.000000589,,,0.312,kgSO2e/m3,0.309,0.00326,,,0.0604,kgPO43-e/m3,0.0599,0.000533,,,0.057,kgC2H4e/m3,0.057,0.0000526,,,0.477,m3H2Oe/m3,0.391,0.0868,,,2022-12-20,2025-12-19
956,건설기업(주),저탄소제품,2022-768,생산재,"레디믹스트 콘크리트[25-30-150,수도권]",0.739,kgSbe/m3,0.729,0.01,,,261,kgCO2e/m3,260,1.58,,,0.0146,kgCFC-11e/m3,0.0146,0.000000589,,,0.342,kgSO2e/m3,0.339,0.00321,,,0.0609,kgPO43-e/m3,0.0603,0.000524,,,0.0585,kgC2H4e/m3,0.0584,0.000052,,,0.503,m3H2Oe/m3,0.412,0.0912,,,2022-12-20,2025-12-19
957,(주)대영레미콘,환경성적,2022-769,생산재,"레디믹스트 콘크리트[25-21-150,충청도]",0.776,kgSbe/m3,0.766,0.01,,,281,kgCO2e/m3,279,1.6,,,0.013,kgCFC-11e/m3,0.013,0.0000136,,,0.284,kgSO2e/m3,0.281,0.00298,,,0.0491,kgPO43-e/m3,0.0486,0.000518,,,0.0489,kgC2H4e/m3,0.0488,0.0000427,,,0.546,m3H2Oe/m3,0.429,0.117,,,2022-12-20,2025-12-19
958,(주)대영레미콘,환경성적,2022-770,생산재,"레디믹스트 콘크리트[25-24-150,충청도]",0.691,kgSbe/m3,0.683,0.00839,,,248,kgCO2e/m3,247,1.34,,,0.0128,kgCFC-11e/m3,0.0128,0.0000136,,,0.258,kgSO2e/m3,0.256,0.00254,,,0.045,kgPO43-e/m3,0.0446,0.000436,,,0.0462,kgC2H4e/m3,0.0461,0.0000409,,,0.511,m3H2Oe/m3,0.398,0.113,,,2022-12-20,2025-12-19
959,(주)대영레미콘,환경성적,2022-771,생산재,"레디믹스트 콘크리트[25-27-150,충청도]",0.734,kgSbe/m3,0.724,0.00949,,,265,kgCO2e/m3,263,1.52,,,0.0127,kgCFC-11e/m3,0.0127,0.0000136,,,0.271,kgSO2e/m3,0.268,0.00283,,,0.0471,kgPO43-e/m3,0.0466,0.000491,,,0.0473,kgC2H4e/m3,0.0473,0.0000421,,,0.522,m3H2Oe/m3,0.408,0.114,,,2022-12-20,2025-12-19
960,(주)대영레미콘,환경성적,2022-772,생산재,"레디믹스트 콘크리트[25-30-150,충청도]",0.818,kgSbe/m3,0.802,0.0156,,,295,kgCO2e/m3,293,2.48,,,0.013,kgCFC-11e/m3,0.013,0.0000136,,,0.295,kgSO2e/m3,0.291,0.00447,,,0.051,kgPO43-e/m3,0.0502,0.000795,,,0.0497,kgC2H4e/m3,0.0497,0.000049,,,0.57,m3H2Oe/m3,0.443,0.127,,,2022-12-20,2025-12-19
961,(주)건설콘크리트,저탄소제품,2022-773,생산재,"레디믹스트 콘크리트[25-24-150,수도권]",0.647,kgSbe/m3,0.637,0.0101,,,245,kgCO2e/m3,243,1.58,,,0.0116,kgCFC-11e/m3,0.0116,0.000000501,,,0.334,kgSO2e/m3,0.33,0.00392,,,0.0634,kgPO43-e/m3,0.0629,0.000556,,,0.0593,kgC2H4e/m3,0.0592,0.0000996,,,0.582,m3H2Oe/m3,0.466,0.116,,,2022-12-20,2025-12-19
962,(주)건설콘크리트,저탄소제품,2022-774,생산재,"레디믹스트 콘크리트[25-30-150,수도권]",0.71,kgSbe/m3,0.699,0.0106,,,271,kgCO2e/m3,269,1.66,,,0.012,kgCFC-11e/m3,0.012,0.000000501,,,0.35,kgSO2e/m3,0.346,0.00406,,,0.0663,kgPO43-e/m3,0.0658,0.000581,,,0.0612,kgC2H4e/m3,0.0611,0.0001,,,0.616,m3H2Oe/m3,0.507,0.11,,,2022-12-20,2025-12-19
963,(주)건설콘크리트,환경성적,2019-242,생산재,"레디믹스트 콘크리트[25-21-150,수도권]",0.684,kgSbe/m3,0.673,0.0117,,,259,kgCO2e/m3,258,1.84,,,0.0121,kgCFC-11e/m3,0.0121,0.000000501,,,0.348,kgSO2e/m3,0.344,0.00436,,,0.0662,kgPO43-e/m3,0.0656,0.000638,,,0.0616,kgC2H4e/m3,0.0615,0.000101,,,0.6,m3H2Oe/m3,0.481,0.119,,,2022-11-28,2025-11-27
964,(주)건설콘크리트,저탄소제품,2022-775,생산재,"레디믹스트 콘크리트[25-27-150,수도권]",0.691,kgSbe/m3,0.68,0.0105,,,263,kgCO2e/m3,261,1.65,,,0.012,kgCFC-11e/m3,0.012,0.000000501,,,0.346,kgSO2e/m3,0.342,0.00403,,,0.0658,kgPO43-e/m3,0.0652,0.000575,,,0.0609,kgC2H4e/m3,0.0608,0.0001,,,0.608,m3H2Oe/m3,0.492,0.116,,,2022-12-20,2025-12-19
965,(주)대영레미콘,환경성적,2022-776,생산재,"레디믹스트 콘크리트[25-21-150,충청도]",0.75,kgSbe/m3,0.734,0.016,,,264,kgCO2e/m3,261,2.54,,,0.0193,kgCFC-11e/m3,0.0193,0.00001,,,0.271,kgSO2e/m3,0.267,0.0045,,,0.0483,kgPO43-e/m3,0.0475,0.000809,,,0.0546,kgC2H4e/m3,0.0545,0.0000364,,,0.524,m3H2Oe/m3,0.406,0.118,,,2022-12-20,2025-12-19
966,(주)대영레미콘,환경성적,2022-777,생산재,"레디믹스트 콘크리트[25-24-150,충청도]",0.824,kgSbe/m3,0.807,0.0167,,,291,kgCO2e/m3,289,2.65,,,0.0196,kgCFC-11e/m3,0.0196,0.00001,,,0.296,kgSO2e/m3,0.292,0.00483,,,0.0525,kgPO43-e/m3,0.0516,0.000852,,,0.0574,kgC2H4e/m3,0.0573,0.0000534,,,0.536,m3H2Oe/m3,0.42,0.116,,,2022-12-20,2025-12-19
967,(주)대영레미콘,환경성적,2022-778,생산재,"레디믹스트 콘크리트[25-27-150,충청도]",1.05,kgSbe/m3,1.03,0.0177,,,378,kgCO2e/m3,375,2.81,,,0.0198,kgCFC-11e/m3,0.0198,0.00001,,,0.369,kgSO2e/m3,0.364,0.00511,,,0.0643,kgPO43-e/m3,0.0634,0.000902,,,0.0645,kgC2H4e/m3,0.0645,0.0000554,,,0.617,m3H2Oe/m3,0.505,0.112,,,2022-12-20,2025-12-19
968,(주)대영레미콘,환경성적,2022-779,생산재,"레디믹스트 콘크리트[25-30-150,충청도]",0.911,kgSbe/m3,0.893,0.0175,,,325,kgCO2e/m3,322,2.77,,,0.0194,kgCFC-11e/m3,0.0194,0.00001,,,0.321,kgSO2e/m3,0.316,0.00497,,,0.0564,kgPO43-e/m3,0.0555,0.000885,,,0.0592,kgC2H4e/m3,0.0592,0.0000479,,,0.553,m3H2Oe/m3,0.439,0.114,,,2022-12-20,2025-12-19
969,남성레미콘(주),환경성적,2022-780,생산재,"레디믹스트 콘크리트 [25-21-150, 수도권]",0.714,kgSbe/m3,0.704,0.0104,,,242,kgCO2e/m3,241,1.63,,,0.0289,kgCFC-11e/m3,0.0289,,,,0.294,kgSO2e/m3,0.291,0.00322,,,0.0548,kgPO43-e/m3,0.0543,0.000537,,,0.0704,kgC2H4e/m3,0.0704,0.0000478,,,0.509,m3H2Oe/m3,0.426,0.0829,,,2022-12-20,2025-12-19
970,남성레미콘(주),환경성적,2022-781,생산재,"레디믹스트 콘크리트 [25-24-150, 수도권]",0.793,kgSbe/m3,0.781,0.0115,,,272,kgCO2e/m3,270,1.81,,,0.0301,kgCFC-11e/m3,0.0301,,,,0.314,kgSO2e/m3,0.31,0.00363,,,0.0581,kgPO43-e/m3,0.0575,0.000598,,,0.0731,kgC2H4e/m3,0.0731,0.0000618,,,0.524,m3H2Oe/m3,0.449,0.075,,,2022-12-20,2025-12-19
971,남성레미콘(주),환경성적,2022-782,생산재,"레디믹스트 콘크리트 [25-27-150, 수도권]",0.799,kgSbe/m3,0.787,0.0124,,,275,kgCO2e/m3,273,1.95,,,0.029,kgCFC-11e/m3,0.029,,,,0.32,kgSO2e/m3,0.315,0.00477,,,0.0587,kgPO43-e/m3,0.058,0.000685,,,0.0724,kgC2H4e/m3,0.0722,0.000128,,,0.522,m3H2Oe/m3,0.448,0.074,,,2022-12-20,2025-12-19
972,남성레미콘(주),환경성적,2022-783,생산재,"레디믹스트 콘크리트 [25-30-150, 수도권]",1.1,kgSbe/m3,1.08,0.0164,,,388,kgCO2e/m3,385,2.42,,,0.0328,kgCFC-11e/m3,0.0328,0.000000128,,,0.419,kgSO2e/m3,0.396,0.0224,,,0.073,kgPO43-e/m3,0.0714,0.0016,,,0.0843,kgC2H4e/m3,0.083,0.00131,,,0.614,m3H2Oe/m3,0.553,0.0612,,,2022-12-20,2025-12-19
973,주식회사 현창기업,저탄소제품,2022-784,생산재,"레디믹스트 콘크리트[25-21-150,수도권]",0.678,kgSbe/m3,0.662,0.0162,,,232,kgCO2e/m3,229,2.56,,,0.0198,kgCFC-11e/m3,0.0198,0.00000068,,,0.322,kgSO2e/m3,0.317,0.00451,,,0.0587,kgPO43-e/m3,0.0579,0.000815,,,0.0631,kgC2H4e/m3,0.063,0.0000314,,,0.485,m3H2Oe/m3,0.379,0.106,,,2022-12-20,2025-12-19
974,주식회사 현창기업,저탄소제품,2022-785,생산재,"레디믹스트 콘크리트[25-24-150,수도권]",0.692,kgSbe/m3,0.674,0.0177,,,237,kgCO2e/m3,234,2.79,,,0.0196,kgCFC-11e/m3,0.0196,0.00000068,,,0.324,kgSO2e/m3,0.319,0.00489,,,0.0589,kgPO43-e/m3,0.058,0.000888,,,0.0629,kgC2H4e/m3,0.0629,0.0000331,,,0.482,m3H2Oe/m3,0.385,0.0966,,,2022-12-20,2025-12-19
975,주식회사 현창기업,저탄소제품,2022-786,생산재,"레디믹스트 콘크리트[25-30-150,수도권]",0.763,kgSbe/m3,0.747,0.0163,,,264,kgCO2e/m3,261,2.58,,,0.0553,kgCFC-11e/m3,0.0553,0.00000068,,,0.306,kgSO2e/m3,0.301,0.00453,,,0.0618,kgPO43-e/m3,0.061,0.00082,,,0.064,kgC2H4e/m3,0.064,0.0000314,,,0.494,m3H2Oe/m3,0.408,0.086,,,2022-12-20,2025-12-19
976,울산레미콘 주식회사,저탄소제품,2022-787,생산재,"레디믹스트 콘크리트[25-27-150,경상도]",0.664,kgSbe/m3,0.648,0.0163,,,224,kgCO2e/m3,222,2.56,,,0.0119,kgCFC-11e/m3,0.0119,0.000000833,,,0.342,kgSO2e/m3,0.337,0.00546,,,0.0594,kgPO43-e/m3,0.0585,0.000858,,,0.0594,kgC2H4e/m3,0.0593,0.0000979,,,0.502,m3H2Oe/m3,0.377,0.125,,,2022-12-20,2025-12-19
977,울산레미콘 주식회사,저탄소제품,2022-788,생산재,"레디믹스트 콘크리트[25-30-150,경상도]",0.697,kgSbe/m3,0.682,0.0149,,,236,kgCO2e/m3,233,2.35,,,0.0123,kgCFC-11e/m3,0.0123,0.000000833,,,0.352,kgSO2e/m3,0.347,0.00511,,,0.061,kgPO43-e/m3,0.0602,0.000792,,,0.0619,kgC2H4e/m3,0.0618,0.0000964,,,0.515,m3H2Oe/m3,0.392,0.123,,,2022-12-20,2025-12-19
978,울산레미콘 주식회사,저탄소제품,2022-789,생산재,"레디믹스트 콘크리트[25-35-150,경상도]",0.725,kgSbe/m3,0.711,0.0138,,,242,kgCO2e/m3,239,2.17,,,0.0122,kgCFC-11e/m3,0.0122,0.000000833,,,0.366,kgSO2e/m3,0.361,0.0048,,,0.0632,kgPO43-e/m3,0.0625,0.000735,,,0.0668,kgC2H4e/m3,0.0667,0.0000951,,,0.522,m3H2Oe/m3,0.402,0.12,,,2022-12-20,2025-12-19
979,대덕산업 주식회사,저탄소제품,2022-790,생산재,"레디믹스트 콘크리트[25-24-150,충청도]",0.664,kgSbe/m3,0.654,0.0101,,,235,kgCO2e/m3,233,1.58,,,0.0069,kgCFC-11e/m3,0.0069,,,,0.329,kgSO2e/m3,0.325,0.00374,,,0.0576,kgPO43-e/m3,0.057,0.000548,,,0.0512,kgC2H4e/m3,0.0511,0.0000893,,,0.461,m3H2Oe/m3,0.359,0.102,,,2022-12-20,2025-12-19
980,대덕산업 주식회사,저탄소제품,2022-791,생산재,"레디믹스트 콘크리트[25-27-150,충청도]",0.719,kgSbe/m3,0.708,0.0113,,,256,kgCO2e/m3,254,1.77,,,0.00685,kgCFC-11e/m3,0.00685,0.000000912,,,0.344,kgSO2e/m3,0.34,0.00407,,,0.06,kgPO43-e/m3,0.0594,0.000609,,,0.0526,kgC2H4e/m3,0.0525,0.0000933,,,0.48,m3H2Oe/m3,0.377,0.103,,,2022-12-20,2025-12-19
981,신원하이테크 주식회사,저탄소제품,2022-792,생산재,경질폴리우레탄폼단열재[2종 2호],1.14,kgSbe/m3,1.09,0.043,,,123,kgCO2e/m3,116,6.88,,,0.00396,kgCFC-11e/m3,0.00396,,,,0.578,kgSO2e/m3,0.566,0.0126,,,0.23,kgPO43-e/m3,0.226,0.00376,,,0.135,kgC2H4e/m3,0.134,0.000618,,,0.517,m3H2Oe/m3,0.442,0.0759,,,2022-12-20,2025-12-19
982,신원하이테크 주식회사,저탄소제품,2022-793,생산재,경질폴리우레탄폼단열재[2종 1호],1.3,kgSbe/m3,1.25,0.0467,,,144,kgCO2e/m3,137,7.47,,,0.00466,kgCFC-11e/m3,0.00466,,,,0.69,kgSO2e/m3,0.676,0.0135,,,0.276,kgPO43-e/m3,0.272,0.00324,,,0.14,kgC2H4e/m3,0.14,0.000562,,,0.594,m3H2Oe/m3,0.51,0.0841,,,2022-12-20,2025-12-19
983,신원하이테크 주식회사,저탄소제품,2022-794,생산재,경질폴리우레탄폼단열재[1종 3호],1.11,kgSbe/m3,1.06,0.0472,,,121,kgCO2e/m3,113,7.52,,,0.00388,kgCFC-11e/m3,0.00388,,,,0.565,kgSO2e/m3,0.552,0.0137,,,0.241,kgPO43-e/m3,0.236,0.00486,,,0.12,kgC2H4e/m3,0.12,0.000606,,,0.514,m3H2Oe/m3,0.429,0.0849,,,2022-12-20,2025-12-19
984,(주)이비엠리더,환경성적,2022-795,생산재,"트윈앵커 유틸리티 [Anchor 200mm, 돌출부D160]",0.0159,kgSbe/개,0.0151,0.000848,,,5.31,kgCO2e/개,5.16,0.145,,,0.0000457,kgCFC-11e/개,0.0000419,0.00000378,,,0.00501,kgSO2e/개,0.00478,0.000232,,,0.0009,kgPO43-e/개,0.000855,0.0000445,,,0.00719,kgC2H4e/개,0.00718,0.00000847,,,0.0415,m3H2Oe/개,0.0398,0.00163,,,2022-12-20,2025-12-19
985,두리화학 (주),저탄소제품,2022-796,생산재,저소음 경질폴리염화비닐 NC2 파이프,0.0168,kgSbe/kg,0.0144,0.00248,,,1.46,kgCO2e/kg,1.07,0.392,,,0.0000182,kgCFC-11e/kg,0.0000182,,,,0.00306,kgSO2e/kg,0.0024,0.000663,,,0.000809,kgPO43-e/kg,0.000685,0.000123,,,0.00166,kgC2H4e/kg,0.00166,0.0000028,,,0.00874,m3H2Oe/kg,0.00373,0.00501,,,2022-12-20,2025-12-19
986,두리화학 (주),저탄소제품,2022-797,생산재,고강성 EDR 지하횡주관,0.0201,kgSbe/kg,0.0177,0.00244,,,1.73,kgCO2e/kg,1.34,0.386,,,0.0000466,kgCFC-11e/kg,0.0000466,,,,0.00365,kgSO2e/kg,0.003,0.000652,,,0.000731,kgPO43-e/kg,0.00061,0.000121,,,0.0021,kgC2H4e/kg,0.0021,0.00000275,,,0.00984,m3H2Oe/kg,0.00492,0.00492,,,2022-12-20,2025-12-19
987,한국지역난방공사,저탄소제품,2022-799,생산재,강남지사 열 및 전기에너지[LNG],0.156,kgSbe/GJ,0.138,0.0178,,,28.6,kgCO2e/GJ,2.26,26.3,,,0.000000103,kgCFC-11e/GJ,0.000000103,,,,0.0335,kgSO2e/GJ,0.025,0.00848,,,0.00348,kgPO43-e/GJ,0.0019,0.00158,,,0.0162,kgC2H4e/GJ,0.0138,0.00232,,,0.0564,m3H2Oe/GJ,0.0234,0.0331,,,2022-12-20,2025-12-19
